item,ibge
http://www.wikidata.org/entity/Q2289907,1703826
http://www.wikidata.org/entity/Q1801753,1703842
http://www.wikidata.org/entity/Q1801690,1703867
http://www.wikidata.org/entity/Q1801654,1703883
http://www.wikidata.org/entity/Q1801716,1703891
http://www.wikidata.org/entity/Q1801760,1703909
http://www.wikidata.org/entity/Q2116769,1704105
http://www.wikidata.org/entity/Q773264,1704600
http://www.wikidata.org/entity/Q1801647,1705102
http://www.wikidata.org/entity/Q1801758,1705508
http://www.wikidata.org/entity/Q746335,1705557
http://www.wikidata.org/entity/Q1801713,1705607
http://www.wikidata.org/entity/Q672837,1706001
http://www.wikidata.org/entity/Q1798698,1706100
http://www.wikidata.org/entity/Q1801175,1706258
http://www.wikidata.org/entity/Q1801100,1706506
http://www.wikidata.org/entity/Q1801150,1707009
http://www.wikidata.org/entity/Q649398,1707108
http://www.wikidata.org/entity/Q967767,1707207
http://www.wikidata.org/entity/Q1800970,1707306
http://www.wikidata.org/entity/Q977277,1707405
http://www.wikidata.org/entity/Q2196935,1707553
http://www.wikidata.org/entity/Q1801233,1707652
http://www.wikidata.org/entity/Q690299,1707702
http://www.wikidata.org/entity/Q1801246,1708205
http://www.wikidata.org/entity/Q1801070,1708254
http://www.wikidata.org/entity/Q1801208,1708304
http://www.wikidata.org/entity/Q1801197,1709005
http://www.wikidata.org/entity/Q1801179,1709302
http://www.wikidata.org/entity/Q1784265,1709500
http://www.wikidata.org/entity/Q946408,1709807
http://www.wikidata.org/entity/Q535056,1710508
http://www.wikidata.org/entity/Q1801108,1710706
http://www.wikidata.org/entity/Q1800939,1710904
http://www.wikidata.org/entity/Q770338,1711100
http://www.wikidata.org/entity/Q1801212,1711506
http://www.wikidata.org/entity/Q374444,1711803
http://www.wikidata.org/entity/Q1801577,1711902
http://www.wikidata.org/entity/Q1801591,1711951
http://www.wikidata.org/entity/Q2085548,1712009
http://www.wikidata.org/entity/Q1801192,1712157
http://www.wikidata.org/entity/Q1786619,1712405
http://www.wikidata.org/entity/Q1801642,1712454
http://www.wikidata.org/entity/Q1801628,1712504
http://www.wikidata.org/entity/Q1801064,1712702
http://www.wikidata.org/entity/Q1801042,1712801
http://www.wikidata.org/entity/Q993530,1713205
http://www.wikidata.org/entity/Q1800924,1713304
http://www.wikidata.org/entity/Q1801517,1713601
http://www.wikidata.org/entity/Q2011582,1713700
http://www.wikidata.org/entity/Q1801156,1713809
http://www.wikidata.org/entity/Q1801142,1713957
http://www.wikidata.org/entity/Q1801567,1714203
http://www.wikidata.org/entity/Q2289927,1714302
http://www.wikidata.org/entity/Q2079727,1714880
http://www.wikidata.org/entity/Q1801604,1715002
http://www.wikidata.org/entity/Q1801572,1715101
http://www.wikidata.org/entity/Q1801587,1715150
http://www.wikidata.org/entity/Q1801252,1715259
http://www.wikidata.org/entity/Q1801609,1715507
http://www.wikidata.org/entity/Q523587,1715705
http://www.wikidata.org/entity/Q1801038,1715754
http://www.wikidata.org/entity/Q978148,1716109
http://www.wikidata.org/entity/Q1801570,1716208
http://www.wikidata.org/entity/Q2085357,1716307
http://www.wikidata.org/entity/Q1801535,1716505
http://www.wikidata.org/entity/Q654261,1716604
http://www.wikidata.org/entity/Q1801219,1716653
http://www.wikidata.org/entity/Q1801662,1716703
http://www.wikidata.org/entity/Q1800896,1717008
http://www.wikidata.org/entity/Q962028,1717206
http://www.wikidata.org/entity/Q1800961,1717503
http://www.wikidata.org/entity/Q1800881,1717800
http://www.wikidata.org/entity/Q1801637,1717909
http://www.wikidata.org/entity/Q677566,1718006
http://www.wikidata.org/entity/Q1784315,1718204
http://www.wikidata.org/entity/Q1801132,1718303
http://www.wikidata.org/entity/Q2085534,1718402
http://www.wikidata.org/entity/Q1801581,1718451
http://www.wikidata.org/entity/Q1801075,1718501
http://www.wikidata.org/entity/Q2197944,1718550
http://www.wikidata.org/entity/Q1801085,1718659
http://www.wikidata.org/entity/Q580856,1718709
http://www.wikidata.org/entity/Q1801199,1718758
http://www.wikidata.org/entity/Q1801137,1718808
http://www.wikidata.org/entity/Q1801094,1718840
http://www.wikidata.org/entity/Q991120,1718865
http://www.wikidata.org/entity/Q522587,1718881
http://www.wikidata.org/entity/Q1801241,1718899
http://www.wikidata.org/entity/Q1801204,1718907
http://www.wikidata.org/entity/Q1801050,1719004
http://www.wikidata.org/entity/Q929170,1720002
http://www.wikidata.org/entity/Q1801161,1720101
http://www.wikidata.org/entity/Q1801186,1720150
http://www.wikidata.org/entity/Q1800932,1720200
http://www.wikidata.org/entity/Q1800952,1720259
http://www.wikidata.org/entity/Q1801056,1720309
http://www.wikidata.org/entity/Q1801542,1720499
http://www.wikidata.org/entity/Q1801168,1720655
http://www.wikidata.org/entity/Q1801080,1720804
http://www.wikidata.org/entity/Q2011603,1720853
http://www.wikidata.org/entity/Q22060005,1720903
http://www.wikidata.org/entity/Q1800947,1720937
http://www.wikidata.org/entity/Q1801633,1720978
http://www.wikidata.org/entity/Q178993,1721000
http://www.wikidata.org/entity/Q1801598,1721109
http://www.wikidata.org/entity/Q587927,1721208
http://www.wikidata.org/entity/Q1801526,1721257
http://www.wikidata.org/entity/Q1801621,1721307
http://www.wikidata.org/entity/Q1798710,1722081
http://www.wikidata.org/entity/Q635920,1722107
http://www.wikidata.org/entity/Q1763534,2100055
http://www.wikidata.org/entity/Q532160,2100105
http://www.wikidata.org/entity/Q2013406,2100154
http://www.wikidata.org/entity/Q939522,2100204
http://www.wikidata.org/entity/Q2013348,2100303
http://www.wikidata.org/entity/Q2013259,2100402
http://www.wikidata.org/entity/Q373783,2100436
http://www.wikidata.org/entity/Q2028638,2100477
http://www.wikidata.org/entity/Q1812998,2100501
http://www.wikidata.org/entity/Q2013296,2100550
http://www.wikidata.org/entity/Q947834,2100600
http://www.wikidata.org/entity/Q2013314,2100709
http://www.wikidata.org/entity/Q2013366,2100808
http://www.wikidata.org/entity/Q2013356,2100832
http://www.wikidata.org/entity/Q2209464,2100873
http://www.wikidata.org/entity/Q2041199,2100907
http://www.wikidata.org/entity/Q2036277,2100956
http://www.wikidata.org/entity/Q1813008,2101004
http://www.wikidata.org/entity/Q630926,2101103
http://www.wikidata.org/entity/Q1807313,2101202
http://www.wikidata.org/entity/Q2068936,2101251
http://www.wikidata.org/entity/Q2089681,2101301
http://www.wikidata.org/entity/Q640733,2101350
http://www.wikidata.org/entity/Q1813001,2101400
http://www.wikidata.org/entity/Q591015,2101509
http://www.wikidata.org/entity/Q1807301,2101608
